  BigCodeBench/0: directa ✓ | harness ✓
  BigCodeBench/165: directa ✗ | harness ✓
  BigCodeBench/167: directa ✗ | harness ✓
  BigCodeBench/168: directa ✗ | harness ✓
  BigCodeBench/171: directa ✗ | harness ✓
  BigCodeBench/172: directa ✓ | harness ✓
  BigCodeBench/173: directa ✗ | harness ✓
  BigCodeBench/174: directa ✗ | harness ✗
  BigCodeBench/175: directa ✗ | harness ✓
  BigCodeBench/178: directa ✗ | harness ✓
  BigCodeBench/193: directa ✗ | harness ✗
  BigCodeBench/194: directa ✗ | harness ✓
  BigCodeBench/197: directa ✗ | harness ✓
  BigCodeBench/198: directa ✗ | harness ✓
  BigCodeBench/200: directa ✗ | harness ✗
  BigCodeBench/201: directa ✗ | harness ✓
  BigCodeBench/202: directa ✗ | harness ✗
  BigCodeBench/204: directa ✗ | harness ✓
  BigCodeBench/206: directa ✗ | harness ✓
  BigCodeBench/208: directa ✗ | harness ✓
  BigCodeBench/209: directa ✗ | harness ✓
  BigCodeBench/210: directa ✗ | harness ✗
  BigCodeBench/212: directa ✗ | harness ✓
  BigCodeBench/219: directa ✗ | harness ✗
  BigCodeBench/222: directa ✗ | harness ✓
  BigCodeBench/225: directa ✗ | harness ✗
  BigCodeBench/226: directa ✗ | harness ✗
  BigCodeBench/228: directa ✓ | harness ✓
  BigCodeBench/229: directa ✗ | harness ✗
  BigCodeBench/232: directa ✗ | harness ✗
  BigCodeBench/233: directa ✗ | harness ✓
  BigCodeBench/240: directa ✗ | harness ✓
  BigCodeBench/243: directa ✗ | harness ✓
  BigCodeBench/248: directa ✗ | harness ✓
  BigCodeBench/250: directa ✗ | harness ✓
  BigCodeBench/251: directa ✓ | harness ✓
  BigCodeBench/252: directa ✗ | harness ✓
  BigCodeBench/253: directa ✗ | harness ✓
  BigCodeBench/254: directa ✗ | harness ✓
  BigCodeBench/255: directa ✗ | harness ✓
  BigCodeBench/257: directa ✗ | harness ✓
  BigCodeBench/258: directa ✗ | harness ✗
  BigCodeBench/259: directa ✗ | harness ✓
  BigCodeBench/260: directa ✗ | harness ✓
  BigCodeBench/261: directa ✗ | harness ✓
  BigCodeBench/263: directa ✗ | harness ✓
  BigCodeBench/264: directa ✗ | harness ✗
  BigCodeBench/265: directa ✗ | harness ✓
  BigCodeBench/266: directa ✗ | harness ✗
  BigCodeBench/268: directa ✓ | harness ✓
  BigCodeBench/270: directa ✗ | harness ✗
  BigCodeBench/275: directa ✗ | harness ✓
  BigCodeBench/277: directa ✗ | harness ✓
  BigCodeBench/279: directa ✗ | harness ✗
  BigCodeBench/281: directa ✗ | harness ✗
  BigCodeBench/283: directa ✗ | harness ✗
  BigCodeBench/286: directa ✗ | harness ✗
  BigCodeBench/287: directa ✗ | harness ✗
  BigCodeBench/288: directa ✗ | harness ✓
  BigCodeBench/293: directa ✗ | harness ✓
  BigCodeBench/295: directa ✗ | harness ✗
  BigCodeBench/296: directa ✗ | harness ✗
  BigCodeBench/297: directa ✗ | harness ✓
  BigCodeBench/299: directa ✗ | harness ✓
  BigCodeBench/305: directa ✗ | harness ✗
  BigCodeBench/308: directa ✗ | harness ✗
  BigCodeBench/310: directa ✗ | harness ✗
  BigCodeBench/312: directa ✗ | harness ✓
  BigCodeBench/313: directa ✗ | harness ✗
  BigCodeBench/316: directa ✗ | harness ✓
  BigCodeBench/318: directa ✗ | harness ✗
  BigCodeBench/320: directa ✗ | harness ✗
  BigCodeBench/322: directa ✗ | harness ✗
  BigCodeBench/325: directa ✗ | harness ✓
  BigCodeBench/326: directa ✗ | harness ✗
  BigCodeBench/327: directa ✗ | harness ✗
  BigCodeBench/328: directa ✗ | harness ✓
  BigCodeBench/329: directa ✗ | harness ✓
  BigCodeBench/330: directa ✗ | harness ✓
  BigCodeBench/331: directa ✗ | harness ✓
  BigCodeBench/333: directa ✗ | harness ✓
  BigCodeBench/335: directa ✗ | harness ✓
  BigCodeBench/336: directa ✗ | harness ✓
  BigCodeBench/337: directa ✗ | harness ✗
  BigCodeBench/338: directa ✗ | harness ✗
  BigCodeBench/342: directa ✗ | harness ✓
  BigCodeBench/343: directa ✗ | harness ✓
  BigCodeBench/344: directa ✗ | harness ✓
  BigCodeBench/346: directa ✗ | harness ✗
  BigCodeBench/347: directa ✗ | harness ✗
  BigCodeBench/349: directa ✓ | harness ✓
  BigCodeBench/350: directa ✗ | harness ✗
  BigCodeBench/351: directa ✓ | harness ✓
  BigCodeBench/352: directa ✗ | harness ✗
  BigCodeBench/353: directa ✓ | harness ✓
  BigCodeBench/354: directa ✗ | harness ✗
  BigCodeBench/358: directa ✗ | harness ✓
  BigCodeBench/360: directa ✗ | harness ✗
  BigCodeBench/362: directa ✓ | harness ✓
  BigCodeBench/365: directa ✗ | harness ✗
  BigCodeBench/367: directa ✗ | harness ✓
  BigCodeBench/368: directa ✗ | harness ✗
  BigCodeBench/370: directa ✗ | harness ✓
  BigCodeBench/379: directa ✗ | harness ✓
  BigCodeBench/380: directa ✓ | harness ✓
  BigCodeBench/384: directa ✗ | harness ✓
  BigCodeBench/385: directa ✗ | harness ✗
  BigCodeBench/386: directa ✗ | harness ✗
  BigCodeBench/387: directa ✗ | harness ✗
  BigCodeBench/388: directa ✗ | harness ✓
  BigCodeBench/389: directa ✗ | harness ✗
  BigCodeBench/391: directa ✗ | harness ✗
  BigCodeBench/392: directa ✗ | harness ✗
  BigCodeBench/394: directa ✗ | harness ✗
  BigCodeBench/397: directa ✗ | harness ✗
  BigCodeBench/398: directa ✗ | harness ✓
  BigCodeBench/399: directa ✗ | harness ✓
## Benchmark REAL — BigCodeBench (ICLR'25) sample
  BigCodeBench/0: directa ✓ | harness ✓
  BigCodeBench/1: directa ✗ | harness ✓
  BigCodeBench/2: directa ✗ | harness ✓
  BigCodeBench/3: directa ✗ | harness ✓
  BigCodeBench/4: directa ✗ | harness ✓
  BigCodeBench/5: directa ✓ | harness ✓
  BigCodeBench/6: directa ✓ | harness ✗
  BigCodeBench/7: directa ✗ | harness ✓
  BigCodeBench/8: directa ✗ | harness ✓
  BigCodeBench/10: directa ✗ | harness ✗
  BigCodeBench/11: directa ✗ | harness ✓
  BigCodeBench/12: directa ✗ | harness ✗
  BigCodeBench/15: directa ✗ | harness ✗
  BigCodeBench/16: directa ✓ | harness ✓
  BigCodeBench/18: directa ✗ | harness ✓
  BigCodeBench/22: directa ✗ | harness ✓
  BigCodeBench/23: directa ✗ | harness ✓
  BigCodeBench/30: directa ✓ | harness ✓
  BigCodeBench/33: directa ✗ | harness ✗
  BigCodeBench/48: directa ✗ | harness ✓
  BigCodeBench/49: directa ✗ | harness ✗
  BigCodeBench/55: directa ✗ | harness ✓
  BigCodeBench/60: directa ✗ | harness ✓
  BigCodeBench/61: directa ✗ | harness ✗
  BigCodeBench/63: directa ✗ | harness ✗
  BigCodeBench/65: directa ✗ | harness ✗
  BigCodeBench/67: directa ✗ | harness ✓
  BigCodeBench/69: directa ✗ | harness ✓
  BigCodeBench/84: directa ✗ | harness ✗
  BigCodeBench/85: directa ✗ | harness ✓
  BigCodeBench/86: directa ✗ | harness ✓
  BigCodeBench/87: directa ✗ | harness ✓
  BigCodeBench/88: directa ✗ | harness ✓
  BigCodeBench/90: directa ✗ | harness ✓
  BigCodeBench/95: directa ✗ | harness ✓
  BigCodeBench/96: directa ✗ | harness ✓
  BigCodeBench/97: directa ✗ | harness ✓
  BigCodeBench/98: directa ✗ | harness ✓
  BigCodeBench/100: directa ✗ | harness ✗
  BigCodeBench/103: directa ✗ | harness ✓
  BigCodeBench/104: directa ✗ | harness ✓
  BigCodeBench/109: directa ✗ | harness ✓
  BigCodeBench/110: directa ✓ | harness ✓
  BigCodeBench/112: directa ✗ | harness ✓
  BigCodeBench/113: directa ✗ | harness ✓
  BigCodeBench/116: directa ✓ | harness ✓
  BigCodeBench/117: directa ✗ | harness ✗
  BigCodeBench/118: directa ✓ | harness ✓
  BigCodeBench/119: directa ✓ | harness ✓
  BigCodeBench/121: directa ✗ | harness ✗
  BigCodeBench/122: directa ✗ | harness ✓
  BigCodeBench/123: directa ✗ | harness ✗
  BigCodeBench/124: directa ✗ | harness ✗
  BigCodeBench/125: directa ✗ | harness ✓
  BigCodeBench/126: directa ✗ | harness ✗
  BigCodeBench/128: directa ✗ | harness ✗
  BigCodeBench/134: directa ✓ | harness ✓
  BigCodeBench/138: directa ✗ | harness ✓
  BigCodeBench/139: directa ✓ | harness ✓
  BigCodeBench/141: directa ✗ | harness ✓
  BigCodeBench/142: directa ✓ | harness ✓
  BigCodeBench/143: directa ✗ | harness ✓
  BigCodeBench/149: directa ✗ | harness ✓
  BigCodeBench/150: directa ✗ | harness ✓
  BigCodeBench/152: directa ✗ | harness ✗
  BigCodeBench/155: directa ✗ | harness ✗
  BigCodeBench/161: directa ✗ | harness ✗
  BigCodeBench/162: directa ✗ | harness ✓
  BigCodeBench/163: directa ✗ | harness ✓
  BigCodeBench/164: directa ✗ | harness ✗
  BigCodeBench/165: directa ✗ | harness ✓
  BigCodeBench/167: directa ✗ | harness ✓
  BigCodeBench/168: directa ✗ | harness ✓
  BigCodeBench/171: directa ✗ | harness ✓
  BigCodeBench/172: directa ✓ | harness ✓
  BigCodeBench/173: directa ✗ | harness ✓
  BigCodeBench/174: directa ✗ | harness ✗
  BigCodeBench/175: directa ✗ | harness ✓
  BigCodeBench/178: directa ✗ | harness ✓
  BigCodeBench/193: directa ✗ | harness ✗
  BigCodeBench/194: directa ✗ | harness ✓
  BigCodeBench/197: directa ✗ | harness ✓
  BigCodeBench/198: directa ✗ | harness ✓
  BigCodeBench/200: directa ✗ | harness ✗
  BigCodeBench/201: directa ✗ | harness ✓
  BigCodeBench/202: directa ✗ | harness ✗
  BigCodeBench/204: directa ✗ | harness ✓
  BigCodeBench/206: directa ✗ | harness ✓
  BigCodeBench/208: directa ✗ | harness ✓
  BigCodeBench/209: directa ✗ | harness ✓
  BigCodeBench/210: directa ✗ | harness ✗
  BigCodeBench/212: directa ✗ | harness ✓
  BigCodeBench/219: directa ✗ | harness ✗
  BigCodeBench/222: directa ✗ | harness ✓
  BigCodeBench/225: directa ✗ | harness ✗
  BigCodeBench/226: directa ✗ | harness ✗
  BigCodeBench/228: directa ✓ | harness ✓
  BigCodeBench/229: directa ✗ | harness ✗
  BigCodeBench/232: directa ✗ | harness ✗
  BigCodeBench/233: directa ✗ | harness ✓
  BigCodeBench/240: directa ✗ | harness ✓
  BigCodeBench/243: directa ✗ | harness ✓
  BigCodeBench/248: directa ✗ | harness ✓
  BigCodeBench/250: directa ✗ | harness ✓
  BigCodeBench/251: directa ✓ | harness ✓
  BigCodeBench/252: directa ✗ | harness ✓
  BigCodeBench/253: directa ✗ | harness ✓
  BigCodeBench/254: directa ✗ | harness ✓
  BigCodeBench/255: directa ✗ | harness ✓
  BigCodeBench/257: directa ✗ | harness ✓
  BigCodeBench/258: directa ✗ | harness ✗
  BigCodeBench/259: directa ✗ | harness ✓
  BigCodeBench/260: directa ✗ | harness ✓
  BigCodeBench/261: directa ✗ | harness ✓
  BigCodeBench/263: directa ✗ | harness ✓
  BigCodeBench/264: directa ✗ | harness ✗
  BigCodeBench/265: directa ✗ | harness ✓
  BigCodeBench/266: directa ✗ | harness ✗
  BigCodeBench/268: directa ✓ | harness ✓
  BigCodeBench/270: directa ✗ | harness ✗
  BigCodeBench/275: directa ✗ | harness ✓
  BigCodeBench/277: directa ✗ | harness ✓
  BigCodeBench/279: directa ✗ | harness ✗
  BigCodeBench/281: directa ✗ | harness ✗
  BigCodeBench/283: directa ✗ | harness ✗
  BigCodeBench/286: directa ✗ | harness ✗
  BigCodeBench/287: directa ✗ | harness ✗
  BigCodeBench/288: directa ✗ | harness ✓
  BigCodeBench/293: directa ✗ | harness ✓
  BigCodeBench/295: directa ✗ | harness ✗
  BigCodeBench/296: directa ✗ | harness ✗
  BigCodeBench/297: directa ✗ | harness ✓
  BigCodeBench/299: directa ✗ | harness ✓
  BigCodeBench/305: directa ✗ | harness ✗
  BigCodeBench/308: directa ✗ | harness ✗
  BigCodeBench/310: directa ✗ | harness ✗
  BigCodeBench/312: directa ✗ | harness ✓
  BigCodeBench/313: directa ✗ | harness ✗
  BigCodeBench/316: directa ✗ | harness ✓
  BigCodeBench/318: directa ✗ | harness ✗
  BigCodeBench/320: directa ✗ | harness ✗
  BigCodeBench/322: directa ✗ | harness ✗
  BigCodeBench/325: directa ✗ | harness ✓
  BigCodeBench/326: directa ✗ | harness ✗
  BigCodeBench/327: directa ✗ | harness ✗
  BigCodeBench/328: directa ✗ | harness ✓
  BigCodeBench/329: directa ✗ | harness ✓
  BigCodeBench/330: directa ✗ | harness ✓
  BigCodeBench/331: directa ✗ | harness ✓
  BigCodeBench/333: directa ✗ | harness ✓
  BigCodeBench/335: directa ✗ | harness ✓
  BigCodeBench/336: directa ✗ | harness ✓
  BigCodeBench/337: directa ✗ | harness ✗
  BigCodeBench/338: directa ✗ | harness ✗
  BigCodeBench/342: directa ✗ | harness ✓
  BigCodeBench/343: directa ✗ | harness ✓
  BigCodeBench/344: directa ✗ | harness ✓
  BigCodeBench/346: directa ✗ | harness ✗
  BigCodeBench/347: directa ✗ | harness ✗
  BigCodeBench/349: directa ✓ | harness ✓
  BigCodeBench/350: directa ✗ | harness ✗
  BigCodeBench/351: directa ✓ | harness ✓
  BigCodeBench/352: directa ✗ | harness ✗
  BigCodeBench/353: directa ✓ | harness ✓
  BigCodeBench/354: directa ✗ | harness ✗
  BigCodeBench/358: directa ✗ | harness ✓
  BigCodeBench/360: directa ✗ | harness ✗
  BigCodeBench/362: directa ✓ | harness ✓
  BigCodeBench/365: directa ✗ | harness ✗
  BigCodeBench/367: directa ✗ | harness ✓
  BigCodeBench/368: directa ✗ | harness ✗
  BigCodeBench/370: directa ✗ | harness ✓
  BigCodeBench/379: directa ✗ | harness ✓
  BigCodeBench/380: directa ✓ | harness ✓
  BigCodeBench/384: directa ✗ | harness ✓
  BigCodeBench/385: directa ✗ | harness ✗
  BigCodeBench/386: directa ✗ | harness ✗
  BigCodeBench/387: directa ✗ | harness ✗
  BigCodeBench/388: directa ✗ | harness ✓
  BigCodeBench/389: directa ✗ | harness ✗
  BigCodeBench/391: directa ✗ | harness ✗
  BigCodeBench/392: directa ✗ | harness ✗
  BigCodeBench/394: directa ✗ | harness ✗
  BigCodeBench/397: directa ✗ | harness ✗
  BigCodeBench/398: directa ✗ | harness ✓
  BigCodeBench/399: directa ✗ | harness ✓
Directa: 21/186 · Harness: 117/186 — verificados por unittest REAL (BigCodeBench)

